,type,year,quarter,application,order_type,adopter,adopted_child_sex,adopted_child_age,count
37,Application,2017,1,Adoption,Convention,M/F couple,n/a,n/a,1
38,Application,2017,2,Adoption,Convention,M/F couple,n/a,n/a,3
39,Application,2017,2,Adoption,Convention,Sole applicant,n/a,n/a,3
40,Application,2017,3,Adoption,Convention,M/F couple,n/a,n/a,3
41,Application,2017,4,Adoption,Convention,M/F couple,n/a,n/a,2
42,Application,2017,4,Adoption,Convention,Other or not stated,n/a,n/a,1
43,Application,2018,1,Adoption,Convention,M/F couple,n/a,n/a,1
44,Application,2018,1,Adoption,Convention,Other or not stated,n/a,n/a,1
45,Application,2018,4,Adoption,Convention,M/F couple,n/a,n/a,3
46,Application,2019,1,Adoption,Convention,M/F couple,n/a,n/a,1
47,Application,2019,1,Adoption,Convention,Sole applicant,n/a,n/a,2
48,Application,2019,2,Adoption,Convention,Other or not stated,n/a,n/a,1
49,Application,2019,2,Adoption,Convention,Sole applicant,n/a,n/a,2
50,Application,2019,3,Adoption,Convention,Sole applicant,n/a,n/a,1
51,Application,2019,4,Adoption,Convention,M/F couple,n/a,n/a,2
52,Application,2020,1,Adoption,Convention,Sole applicant,n/a,n/a,1
53,Application,2020,2,Adoption,Convention,Sole applicant,n/a,n/a,1
54,Application,2020,3,Adoption,Convention,M/F couple,n/a,n/a,3
55,Application,2020,4,Adoption,Convention,M/F couple,n/a,n/a,3
56,Application,2020,4,Adoption,Convention,Sole applicant,n/a,n/a,1
57,Application,2021,1,Adoption,Convention,M/F couple,n/a,n/a,3
58,Application,2021,2,Adoption,Convention,M/F couple,n/a,n/a,3
59,Application,2021,2,Adoption,Convention,Same sex couple,n/a,n/a,1
60,Application,2011,1,Adoption,Foreign,M/F couple,n/a,n/a,24
61,Application,2011,1,Adoption,Foreign,Sole applicant,n/a,n/a,5
62,Application,2011,2,Adoption,Foreign,M/F couple,n/a,n/a,13
63,Application,2011,2,Adoption,Foreign,Other or not stated,n/a,n/a,1
64,Application,2011,2,Adoption,Foreign,Same sex couple,n/a,n/a,1
65,Application,2011,2,Adoption,Foreign,Sole applicant,n/a,n/a,3
66,Application,2011,2,Adoption,Foreign,Step parent,n/a,n/a,1
67,Application,2011,3,Adoption,Foreign,M/F couple,n/a,n/a,17
68,Application,2011,3,Adoption,Foreign,Sole applicant,n/a,n/a,5
69,Application,2011,4,Adoption,Foreign,M/F couple,n/a,n/a,21
70,Application,2011,4,Adoption,Foreign,Sole applicant,n/a,n/a,1
71,Application,2012,1,Adoption,Foreign,M/F couple,n/a,n/a,16
72,Application,2012,1,Adoption,Foreign,Same sex couple,n/a,n/a,1
73,Application,2012,1,Adoption,Foreign,Sole applicant,n/a,n/a,5
74,Application,2012,2,Adoption,Foreign,M/F couple,n/a,n/a,6
75,Application,2012,2,Adoption,Foreign,Other or not stated,n/a,n/a,1
76,Application,2012,2,Adoption,Foreign,Sole applicant,n/a,n/a,4
77,Application,2012,3,Adoption,Foreign,M/F couple,n/a,n/a,12
78,Application,2012,3,Adoption,Foreign,Sole applicant,n/a,n/a,4
79,Application,2012,4,Adoption,Foreign,M/F couple,n/a,n/a,10
80,Application,2012,4,Adoption,Foreign,Sole applicant,n/a,n/a,2
81,Application,2013,1,Adoption,Foreign,M/F couple,n/a,n/a,18
82,Application,2013,1,Adoption,Foreign,Sole applicant,n/a,n/a,2
83,Application,2013,2,Adoption,Foreign,M/F couple,n/a,n/a,7
84,Application,2013,2,Adoption,Foreign,Sole applicant,n/a,n/a,7
85,Application,2013,3,Adoption,Foreign,M/F couple,n/a,n/a,8
86,Application,2013,3,Adoption,Foreign,Sole applicant,n/a,n/a,3
87,Application,2013,4,Adoption,Foreign,M/F couple,n/a,n/a,8
88,Application,2013,4,Adoption,Foreign,Sole applicant,n/a,n/a,5
89,Application,2014,1,Adoption,Foreign,M/F couple,n/a,n/a,6
90,Application,2014,1,Adoption,Foreign,Sole applicant,n/a,n/a,3
91,Application,2014,2,Adoption,Foreign,M/F couple,n/a,n/a,12
92,Application,2014,2,Adoption,Foreign,Other or not stated,n/a,n/a,1
93,Application,2014,2,Adoption,Foreign,Step parent,n/a,n/a,1
94,Application,2014,3,Adoption,Foreign,M/F couple,n/a,n/a,7
95,Application,2014,4,Adoption,Foreign,M/F couple,n/a,n/a,17
96,Application,2015,1,Adoption,Foreign,M/F couple,n/a,n/a,7
97,Application,2015,1,Adoption,Foreign,Sole applicant,n/a,n/a,1
98,Application,2015,2,Adoption,Foreign,M/F couple,n/a,n/a,1
99,Application,2015,2,Adoption,Foreign,Sole applicant,n/a,n/a,3
100,Application,2015,3,Adoption,Foreign,M/F couple,n/a,n/a,10
101,Application,2015,3,Adoption,Foreign,Sole applicant,n/a,n/a,3
102,Application,2015,4,Adoption,Foreign,M/F couple,n/a,n/a,5
103,Application,2015,4,Adoption,Foreign,Sole applicant,n/a,n/a,1
104,Application,2016,1,Adoption,Foreign,M/F couple,n/a,n/a,8
105,Application,2016,1,Adoption,Foreign,Sole applicant,n/a,n/a,4
106,Application,2016,2,Adoption,Foreign,M/F couple,n/a,n/a,2
107,Application,2016,2,Adoption,Foreign,Sole applicant,n/a,n/a,2
108,Application,2016,3,Adoption,Foreign,M/F couple,n/a,n/a,2
109,Application,2016,3,Adoption,Foreign,Sole applicant,n/a,n/a,1
110,Application,2016,4,Adoption,Foreign,M/F couple,n/a,n/a,2
111,Application,2016,4,Adoption,Foreign,Step parent,n/a,n/a,1
112,Application,2017,1,Adoption,Foreign,M/F couple,n/a,n/a,4
113,Application,2017,2,Adoption,Foreign,M/F couple,n/a,n/a,7
114,Application,2017,2,Adoption,Foreign,Sole applicant,n/a,n/a,2
115,Application,2017,3,Adoption,Foreign,M/F couple,n/a,n/a,6
116,Application,2017,3,Adoption,Foreign,Other or not stated,n/a,n/a,1
117,Application,2017,3,Adoption,Foreign,Sole applicant,n/a,n/a,2
118,Application,2017,4,Adoption,Foreign,M/F couple,n/a,n/a,6
119,Application,2017,4,Adoption,Foreign,Sole applicant,n/a,n/a,1
120,Application,2018,1,Adoption,Foreign,M/F couple,n/a,n/a,7
121,Application,2018,1,Adoption,Foreign,Step parent,n/a,n/a,1
122,Application,2018,2,Adoption,Foreign,M/F couple,n/a,n/a,2
123,Application,2018,2,Adoption,Foreign,Same sex couple,n/a,n/a,1
124,Application,2018,2,Adoption,Foreign,Sole applicant,n/a,n/a,1
125,Application,2018,3,Adoption,Foreign,M/F couple,n/a,n/a,2
126,Application,2018,3,Adoption,Foreign,Sole applicant,n/a,n/a,1
127,Application,2018,4,Adoption,Foreign,M/F couple,n/a,n/a,2
128,Application,2019,1,Adoption,Foreign,M/F couple,n/a,n/a,6
129,Application,2019,2,Adoption,Foreign,M/F couple,n/a,n/a,4
130,Application,2019,2,Adoption,Foreign,Sole applicant,n/a,n/a,2
131,Application,2019,2,Adoption,Foreign,Step parent,n/a,n/a,1
132,Application,2019,3,Adoption,Foreign,M/F couple,n/a,n/a,8
133,Application,2019,3,Adoption,Foreign,Sole applicant,n/a,n/a,4
134,Application,2019,4,Adoption,Foreign,M/F couple,n/a,n/a,2
135,Application,2019,4,Adoption,Foreign,Other or not stated,n/a,n/a,1
136,Application,2020,1,Adoption,Foreign,M/F couple,n/a,n/a,5
137,Application,2020,2,Adoption,Foreign,M/F couple,n/a,n/a,4
138,Application,2020,3,Adoption,Foreign,M/F couple,n/a,n/a,6
139,Application,2020,4,Adoption,Foreign,M/F couple,n/a,n/a,9
140,Application,2020,4,Adoption,Foreign,Sole applicant,n/a,n/a,3
141,Application,2021,1,Adoption,Foreign,M/F couple,n/a,n/a,7
142,Application,2021,1,Adoption,Foreign,Sole applicant,n/a,n/a,2
143,Application,2021,2,Adoption,Foreign,M/F couple,n/a,n/a,2
144,Application,2011,1,Adoption,Standard,M/F couple,n/a,n/a,916
145,Application,2011,1,Adoption,Standard,Other or not stated,n/a,n/a,28
146,Application,2011,1,Adoption,Standard,Same sex couple,n/a,n/a,50
147,Application,2011,1,Adoption,Standard,Sole applicant,n/a,n/a,187
148,Application,2011,1,Adoption,Standard,Step parent,n/a,n/a,143
149,Application,2011,2,Adoption,Standard,M/F couple,n/a,n/a,761
150,Application,2011,2,Adoption,Standard,Other or not stated,n/a,n/a,26
151,Application,2011,2,Adoption,Standard,Same sex couple,n/a,n/a,50
152,Application,2011,2,Adoption,Standard,Sole applicant,n/a,n/a,151
153,Application,2011,2,Adoption,Standard,Step parent,n/a,n/a,142
154,Application,2011,3,Adoption,Standard,M/F couple,n/a,n/a,765
155,Application,2011,3,Adoption,Standard,Other or not stated,n/a,n/a,11
156,Application,2011,3,Adoption,Standard,Same sex couple,n/a,n/a,42
157,Application,2011,3,Adoption,Standard,Sole applicant,n/a,n/a,184
158,Application,2011,3,Adoption,Standard,Step parent,n/a,n/a,138
159,Application,2011,4,Adoption,Standard,M/F couple,n/a,n/a,757
160,Application,2011,4,Adoption,Standard,Other or not stated,n/a,n/a,19
161,Application,2011,4,Adoption,Standard,Same sex couple,n/a,n/a,60
162,Application,2011,4,Adoption,Standard,Sole applicant,n/a,n/a,206
163,Application,2011,4,Adoption,Standard,Step parent,n/a,n/a,129
164,Application,2012,1,Adoption,Standard,M/F couple,n/a,n/a,948
165,Application,2012,1,Adoption,Standard,Other or not stated,n/a,n/a,16
166,Application,2012,1,Adoption,Standard,Same sex couple,n/a,n/a,66
167,Application,2012,1,Adoption,Standard,Sole applicant,n/a,n/a,246
168,Application,2012,1,Adoption,Standard,Step parent,n/a,n/a,129
169,Application,2012,2,Adoption,Standard,M/F couple,n/a,n/a,871
170,Application,2012,2,Adoption,Standard,Other or not stated,n/a,n/a,7
171,Application,2012,2,Adoption,Standard,Same sex couple,n/a,n/a,73
172,Application,2012,2,Adoption,Standard,Sole applicant,n/a,n/a,195
173,Application,2012,2,Adoption,Standard,Step parent,n/a,n/a,132
174,Application,2012,3,Adoption,Standard,M/F couple,n/a,n/a,867
175,Application,2012,3,Adoption,Standard,Other or not stated,n/a,n/a,18
176,Application,2012,3,Adoption,Standard,Same sex couple,n/a,n/a,69
177,Application,2012,3,Adoption,Standard,Sole applicant,n/a,n/a,229
178,Application,2012,3,Adoption,Standard,Step parent,n/a,n/a,121
179,Application,2012,4,Adoption,Standard,M/F couple,n/a,n/a,1019
180,Application,2012,4,Adoption,Standard,Other or not stated,n/a,n/a,16
181,Application,2012,4,Adoption,Standard,Same sex couple,n/a,n/a,91
182,Application,2012,4,Adoption,Standard,Sole applicant,n/a,n/a,207
183,Application,2012,4,Adoption,Standard,Step parent,n/a,n/a,94
184,Application,2013,1,Adoption,Standard,M/F couple,n/a,n/a,1104
185,Application,2013,1,Adoption,Standard,Other or not stated,n/a,n/a,26
186,Application,2013,1,Adoption,Standard,Same sex couple,n/a,n/a,117
187,Application,2013,1,Adoption,Standard,Sole applicant,n/a,n/a,252
188,Application,2013,1,Adoption,Standard,Step parent,n/a,n/a,104
189,Application,2013,2,Adoption,Standard,M/F couple,n/a,n/a,1156
190,Application,2013,2,Adoption,Standard,Other or not stated,n/a,n/a,10
191,Application,2013,2,Adoption,Standard,Same sex couple,n/a,n/a,99
192,Application,2013,2,Adoption,Standard,Sole applicant,n/a,n/a,238
193,Application,2013,2,Adoption,Standard,Step parent,n/a,n/a,123
194,Application,2013,3,Adoption,Standard,M/F couple,n/a,n/a,1130
195,Application,2013,3,Adoption,Standard,Other or not stated,n/a,n/a,22
196,Application,2013,3,Adoption,Standard,Same sex couple,n/a,n/a,104
197,Application,2013,3,Adoption,Standard,Sole applicant,n/a,n/a,222
198,Application,2013,3,Adoption,Standard,Step parent,n/a,n/a,97
199,Application,2013,4,Adoption,Standard,M/F couple,n/a,n/a,1212
200,Application,2013,4,Adoption,Standard,Other or not stated,n/a,n/a,11
201,Application,2013,4,Adoption,Standard,Same sex couple,n/a,n/a,104
202,Application,2013,4,Adoption,Standard,Sole applicant,n/a,n/a,231
203,Application,2013,4,Adoption,Standard,Step parent,n/a,n/a,109
204,Application,2014,1,Adoption,Standard,M/F couple,n/a,n/a,1259
205,Application,2014,1,Adoption,Standard,Other or not stated,n/a,n/a,18
206,Application,2014,1,Adoption,Standard,Same sex couple,n/a,n/a,163
207,Application,2014,1,Adoption,Standard,Sole applicant,n/a,n/a,274
208,Application,2014,1,Adoption,Standard,Step parent,n/a,n/a,103
209,Application,2014,2,Adoption,Standard,M/F couple,n/a,n/a,1231
210,Application,2014,2,Adoption,Standard,Other or not stated,n/a,n/a,13
211,Application,2014,2,Adoption,Standard,Same sex couple,n/a,n/a,133
212,Application,2014,2,Adoption,Standard,Sole applicant,n/a,n/a,246
213,Application,2014,2,Adoption,Standard,Step parent,n/a,n/a,100
214,Application,2014,3,Adoption,Standard,M/F couple,n/a,n/a,1191
215,Application,2014,3,Adoption,Standard,Other or not stated,n/a,n/a,15
216,Application,2014,3,Adoption,Standard,Same sex couple,n/a,n/a,145
217,Application,2014,3,Adoption,Standard,Sole applicant,n/a,n/a,243
218,Application,2014,3,Adoption,Standard,Step parent,n/a,n/a,102
219,Application,2014,4,Adoption,Standard,M/F couple,n/a,n/a,1072
220,Application,2014,4,Adoption,Standard,Other or not stated,n/a,n/a,9
221,Application,2014,4,Adoption,Standard,Same sex couple,n/a,n/a,138
222,Application,2014,4,Adoption,Standard,Sole applicant,n/a,n/a,211
223,Application,2014,4,Adoption,Standard,Step parent,n/a,n/a,101
224,Application,2015,1,Adoption,Standard,M/F couple,n/a,n/a,1192
225,Application,2015,1,Adoption,Standard,Other or not stated,n/a,n/a,16
226,Application,2015,1,Adoption,Standard,Same sex couple,n/a,n/a,145
227,Application,2015,1,Adoption,Standard,Sole applicant,n/a,n/a,269
228,Application,2015,1,Adoption,Standard,Step parent,n/a,n/a,106
229,Application,2015,2,Adoption,Standard,M/F couple,n/a,n/a,951
230,Application,2015,2,Adoption,Standard,Other or not stated,n/a,n/a,14
231,Application,2015,2,Adoption,Standard,Same sex couple,n/a,n/a,141
232,Application,2015,2,Adoption,Standard,Sole applicant,n/a,n/a,245
233,Application,2015,2,Adoption,Standard,Step parent,n/a,n/a,127
234,Application,2015,3,Adoption,Standard,M/F couple,n/a,n/a,1011
235,Application,2015,3,Adoption,Standard,Other or not stated,n/a,n/a,22
236,Application,2015,3,Adoption,Standard,Same sex couple,n/a,n/a,146
237,Application,2015,3,Adoption,Standard,Sole applicant,n/a,n/a,262
238,Application,2015,3,Adoption,Standard,Step parent,n/a,n/a,116
239,Application,2015,4,Adoption,Standard,M/F couple,n/a,n/a,966
240,Application,2015,4,Adoption,Standard,Other or not stated,n/a,n/a,8
241,Application,2015,4,Adoption,Standard,Same sex couple,n/a,n/a,117
242,Application,2015,4,Adoption,Standard,Sole applicant,n/a,n/a,250
243,Application,2015,4,Adoption,Standard,Step parent,n/a,n/a,109
244,Application,2016,1,Adoption,Standard,M/F couple,n/a,n/a,1033
245,Application,2016,1,Adoption,Standard,Other or not stated,n/a,n/a,14
246,Application,2016,1,Adoption,Standard,Same sex couple,n/a,n/a,124
247,Application,2016,1,Adoption,Standard,Sole applicant,n/a,n/a,258
248,Application,2016,1,Adoption,Standard,Step parent,n/a,n/a,103
249,Application,2016,2,Adoption,Standard,M/F couple,n/a,n/a,955
250,Application,2016,2,Adoption,Standard,Other or not stated,n/a,n/a,7
251,Application,2016,2,Adoption,Standard,Same sex couple,n/a,n/a,126
252,Application,2016,2,Adoption,Standard,Sole applicant,n/a,n/a,230
253,Application,2016,2,Adoption,Standard,Step parent,n/a,n/a,112
254,Application,2016,3,Adoption,Standard,M/F couple,n/a,n/a,954
255,Application,2016,3,Adoption,Standard,Other or not stated,n/a,n/a,6
256,Application,2016,3,Adoption,Standard,Same sex couple,n/a,n/a,139
257,Application,2016,3,Adoption,Standard,Sole applicant,n/a,n/a,241
258,Application,2016,3,Adoption,Standard,Step parent,n/a,n/a,117
259,Application,2016,4,Adoption,Standard,M/F couple,n/a,n/a,898
260,Application,2016,4,Adoption,Standard,Other or not stated,n/a,n/a,12
261,Application,2016,4,Adoption,Standard,Same sex couple,n/a,n/a,146
262,Application,2016,4,Adoption,Standard,Sole applicant,n/a,n/a,240
263,Application,2016,4,Adoption,Standard,Step parent,n/a,n/a,122
264,Application,2017,1,Adoption,Standard,M/F couple,n/a,n/a,883
265,Application,2017,1,Adoption,Standard,Other or not stated,n/a,n/a,26
266,Application,2017,1,Adoption,Standard,Same sex couple,n/a,n/a,162
267,Application,2017,1,Adoption,Standard,Sole applicant,n/a,n/a,238
268,Application,2017,1,Adoption,Standard,Step parent,n/a,n/a,154
269,Application,2017,2,Adoption,Standard,M/F couple,n/a,n/a,774
270,Application,2017,2,Adoption,Standard,Other or not stated,n/a,n/a,10
271,Application,2017,2,Adoption,Standard,Same sex couple,n/a,n/a,138
272,Application,2017,2,Adoption,Standard,Sole applicant,n/a,n/a,208
273,Application,2017,2,Adoption,Standard,Step parent,n/a,n/a,123
274,Application,2017,3,Adoption,Standard,M/F couple,n/a,n/a,823
275,Application,2017,3,Adoption,Standard,Other or not stated,n/a,n/a,7
276,Application,2017,3,Adoption,Standard,Same sex couple,n/a,n/a,143
277,Application,2017,3,Adoption,Standard,Sole applicant,n/a,n/a,286
278,Application,2017,3,Adoption,Standard,Step parent,n/a,n/a,106
279,Application,2017,4,Adoption,Standard,M/F couple,n/a,n/a,791
280,Application,2017,4,Adoption,Standard,Other or not stated,n/a,n/a,8
281,Application,2017,4,Adoption,Standard,Same sex couple,n/a,n/a,143
282,Application,2017,4,Adoption,Standard,Sole applicant,n/a,n/a,234
283,Application,2017,4,Adoption,Standard,Step parent,n/a,n/a,122
284,Application,2018,1,Adoption,Standard,M/F couple,n/a,n/a,740
285,Application,2018,1,Adoption,Standard,Other or not stated,n/a,n/a,9
286,Application,2018,1,Adoption,Standard,Same sex couple,n/a,n/a,155
287,Application,2018,1,Adoption,Standard,Sole applicant,n/a,n/a,269
288,Application,2018,1,Adoption,Standard,Step parent,n/a,n/a,122
289,Application,2018,2,Adoption,Standard,M/F couple,n/a,n/a,744
290,Application,2018,2,Adoption,Standard,Other or not stated,n/a,n/a,5
291,Application,2018,2,Adoption,Standard,Same sex couple,n/a,n/a,138
292,Application,2018,2,Adoption,Standard,Sole applicant,n/a,n/a,256
293,Application,2018,2,Adoption,Standard,Step parent,n/a,n/a,112
294,Application,2018,3,Adoption,Standard,M/F couple,n/a,n/a,720
295,Application,2018,3,Adoption,Standard,Other or not stated,n/a,n/a,13
296,Application,2018,3,Adoption,Standard,Same sex couple,n/a,n/a,153
297,Application,2018,3,Adoption,Standard,Sole applicant,n/a,n/a,245
298,Application,2018,3,Adoption,Standard,Step parent,n/a,n/a,108
299,Application,2018,4,Adoption,Standard,M/F couple,n/a,n/a,761
300,Application,2018,4,Adoption,Standard,Other or not stated,n/a,n/a,8
301,Application,2018,4,Adoption,Standard,Same sex couple,n/a,n/a,166
302,Application,2018,4,Adoption,Standard,Sole applicant,n/a,n/a,274
303,Application,2018,4,Adoption,Standard,Step parent,n/a,n/a,86
304,Application,2019,1,Adoption,Standard,M/F couple,n/a,n/a,754
305,Application,2019,1,Adoption,Standard,Other or not stated,n/a,n/a,6
306,Application,2019,1,Adoption,Standard,Same sex couple,n/a,n/a,149
307,Application,2019,1,Adoption,Standard,Sole applicant,n/a,n/a,306
308,Application,2019,1,Adoption,Standard,Step parent,n/a,n/a,101
309,Application,2019,2,Adoption,Standard,M/F couple,n/a,n/a,719
310,Application,2019,2,Adoption,Standard,Other or not stated,n/a,n/a,5
311,Application,2019,2,Adoption,Standard,Same sex couple,n/a,n/a,148
312,Application,2019,2,Adoption,Standard,Sole applicant,n/a,n/a,254
313,Application,2019,2,Adoption,Standard,Step parent,n/a,n/a,96
314,Application,2019,3,Adoption,Standard,M/F couple,n/a,n/a,696
315,Application,2019,3,Adoption,Standard,Other or not stated,n/a,n/a,7
316,Application,2019,3,Adoption,Standard,Same sex couple,n/a,n/a,176
317,Application,2019,3,Adoption,Standard,Sole applicant,n/a,n/a,217
318,Application,2019,3,Adoption,Standard,Step parent,n/a,n/a,67
319,Application,2019,4,Adoption,Standard,M/F couple,n/a,n/a,728
320,Application,2019,4,Adoption,Standard,Other or not stated,n/a,n/a,7
321,Application,2019,4,Adoption,Standard,Same sex couple,n/a,n/a,163
322,Application,2019,4,Adoption,Standard,Sole applicant,n/a,n/a,252
323,Application,2019,4,Adoption,Standard,Step parent,n/a,n/a,73
324,Application,2020,1,Adoption,Standard,M/F couple,n/a,n/a,676
325,Application,2020,1,Adoption,Standard,Other or not stated,n/a,n/a,5
326,Application,2020,1,Adoption,Standard,Same sex couple,n/a,n/a,138
327,Application,2020,1,Adoption,Standard,Sole applicant,n/a,n/a,220
328,Application,2020,1,Adoption,Standard,Step parent,n/a,n/a,64
329,Application,2020,2,Adoption,Standard,M/F couple,n/a,n/a,495
330,Application,2020,2,Adoption,Standard,Other or not stated,n/a,n/a,9
331,Application,2020,2,Adoption,Standard,Same sex couple,n/a,n/a,129
332,Application,2020,2,Adoption,Standard,Sole applicant,n/a,n/a,156
333,Application,2020,2,Adoption,Standard,Step parent,n/a,n/a,42
334,Application,2020,3,Adoption,Standard,M/F couple,n/a,n/a,617
335,Application,2020,3,Adoption,Standard,Other or not stated,n/a,n/a,10
336,Application,2020,3,Adoption,Standard,Same sex couple,n/a,n/a,163
337,Application,2020,3,Adoption,Standard,Sole applicant,n/a,n/a,243
338,Application,2020,3,Adoption,Standard,Step parent,n/a,n/a,61
339,Application,2020,4,Adoption,Standard,M/F couple,n/a,n/a,743
340,Application,2020,4,Adoption,Standard,Other or not stated,n/a,n/a,11
341,Application,2020,4,Adoption,Standard,Same sex couple,n/a,n/a,167
342,Application,2020,4,Adoption,Standard,Sole applicant,n/a,n/a,212
343,Application,2020,4,Adoption,Standard,Step parent,n/a,n/a,39
344,Application,2021,1,Adoption,Standard,M/F couple,n/a,n/a,648
345,Application,2021,1,Adoption,Standard,Other or not stated,n/a,n/a,9
346,Application,2021,1,Adoption,Standard,Same sex couple,n/a,n/a,177
347,Application,2021,1,Adoption,Standard,Sole applicant,n/a,n/a,265
348,Application,2021,1,Adoption,Standard,Step parent,n/a,n/a,67
349,Application,2021,2,Adoption,Standard,M/F couple,n/a,n/a,585
350,Application,2021,2,Adoption,Standard,Other or not stated,n/a,n/a,9
351,Application,2021,2,Adoption,Standard,Same sex couple,n/a,n/a,177
352,Application,2021,2,Adoption,Standard,Sole applicant,n/a,n/a,198
353,Application,2021,2,Adoption,Standard,Step parent,n/a,n/a,85
354,Application,2011,2,Adoption+other,Foreign,Sole applicant,n/a,n/a,1
355,Application,2011,4,Adoption+other,Foreign,M/F couple,n/a,n/a,1
356,Application,2012,3,Adoption+other,Foreign,M/F couple,n/a,n/a,1
357,Application,2012,4,Adoption+other,Foreign,M/F couple,n/a,n/a,1
358,Application,2012,4,Adoption+other,Foreign,Other or not stated,n/a,n/a,1
359,Application,2012,4,Adoption+other,Foreign,Sole applicant,n/a,n/a,1
360,Application,2013,4,Adoption+other,Foreign,M/F couple,n/a,n/a,1
361,Application,2015,1,Adoption+other,Foreign,Other or not stated,n/a,n/a,1
362,Application,2015,2,Adoption+other,Foreign,M/F couple,n/a,n/a,2
363,Application,2015,2,Adoption+other,Foreign,Other or not stated,n/a,n/a,1
364,Application,2016,2,Adoption+other,Foreign,M/F couple,n/a,n/a,1
365,Application,2016,2,Adoption+other,Foreign,Other or not stated,n/a,n/a,1
366,Application,2017,2,Adoption+other,Foreign,M/F couple,n/a,n/a,1
367,Application,2018,4,Adoption+other,Foreign,M/F couple,n/a,n/a,1
368,Application,2018,4,Adoption+other,Foreign,Other or not stated,n/a,n/a,1
369,Application,2019,2,Adoption+other,Foreign,M/F couple,n/a,n/a,2
370,Application,2019,2,Adoption+other,Foreign,Other or not stated,n/a,n/a,1
371,Application,2020,1,Adoption+other,Foreign,Other or not stated,n/a,n/a,1
372,Application,2011,1,Non-adoption,Change_surname,n/a,n/a,n/a,11
373,Application,2011,2,Non-adoption,Change_surname,n/a,n/a,n/a,6
374,Application,2011,3,Non-adoption,Change_surname,n/a,n/a,n/a,16
375,Application,2011,4,Non-adoption,Change_surname,n/a,n/a,n/a,24
376,Application,2012,1,Non-adoption,Change_surname,n/a,n/a,n/a,10
377,Application,2012,2,Non-adoption,Change_surname,n/a,n/a,n/a,26
378,Application,2012,3,Non-adoption,Change_surname,n/a,n/a,n/a,16
379,Application,2012,4,Non-adoption,Change_surname,n/a,n/a,n/a,6
380,Application,2013,1,Non-adoption,Change_surname,n/a,n/a,n/a,17
381,Application,2013,2,Non-adoption,Change_surname,n/a,n/a,n/a,20
382,Application,2013,3,Non-adoption,Change_surname,n/a,n/a,n/a,12
383,Application,2013,4,Non-adoption,Change_surname,n/a,n/a,n/a,17
384,Application,2014,1,Non-adoption,Change_surname,n/a,n/a,n/a,14
385,Application,2014,2,Non-adoption,Change_surname,n/a,n/a,n/a,12
386,Application,2014,3,Non-adoption,Change_surname,n/a,n/a,n/a,16
387,Application,2014,4,Non-adoption,Change_surname,n/a,n/a,n/a,11
